English Event Title,English Location,English One-sentence Summary,Spanish event title,Spanish Location,Spanish One-sentence Summary,German event title,German location,German one-sentence summary,Portuguese event title,Portuguese location,Portuguese one sentence summary,Italian event title,Italian location,Italian one sentence summary,Chinese event title,chinese location,chinese one sentence summary,japanese event title,Japanese location,Japanese one sentence summary
Eradication Forever,Veranda,A Cure-All or Grecian Panacea became the newest topic of considerable divisiveness. ,Erradicación para siempre,Veranda,Una curadera o la panacea Greciana se convirtió en el tema más reciente de una considerable división.,Ausrottung für immer,Veranda,Eine Heilung - alles oder griechische Panacea wurde zum neuesten Thema der beträchtlichen Teiligkeit.,Erradicação para sempre.,Varanda,Uma panacéia de cura-toda ou grega tornou-se o mais novo tópico de considerável divisão.,Eradicazione per sempre,Veranda,Una Panacea di Cure-All o Grecian è diventata il più nuovo argomento di una notevole divisività.,永远消灭,阳台,一个治愈 - 全部或希伯来亚灵巧的灵芝成为最新的潜力的最新话题。,永遠の根絶,ベランダ,治療法またはGrecian Panaceaはかなりの人の間に最新のトピックになりました。
A Cure For All,Laboratory,After years of tireless dedication a solution to the ails of all men had been formulated.,Una cura para todos,Laboratorio,Después de años de incansable dedicación se había formulado una solución a los AIL de todos los hombres.,Ein Heilmittel für alle,Labor,Nach Jahren unermüdlicher Hingabe wurde eine Lösung für die AILs aller Männer formuliert worden.,Uma cura para todos,Laboratório,Depois de anos de dedicação incansável uma solução para os Ails de todos os homens havia sido formulada.,Una cura per tutti,Laboratorio,Dopo anni di instancabile dedizione una soluzione agli Aille di tutti gli uomini era stata formulata.,为所有人治愈,实验室,经过多年的不懈奉献，制定了所有人的所有人的解决方案。,すべての治療法,実験室,推進された推測の後、すべての男性のAILSへの解決策が策定されていた。
A Weapon Published,Publishing Company,In a shocking display of altruism the findings were published in a series of medical journals at the behest of the university's administration. ,Un arma publicada,Compañia de publicidad,En una pantalla impactante del altruismo los hallazgos se publicaron en una serie de revistas médicas a la administración de la Universidad.,Eine Waffe veröffentlicht,Verlag,In einer schockierenden Darstellung von Altruismus wurden die Erkenntnisse in einer Reihe von medizinischen Zeitschriften im Auftrag der Verwaltung der Universität veröffentlicht.,Uma arma publicada,Editora,Em uma exibição chocante de altruísmo as descobertas foram publicadas em uma série de periódicos médicos em busca da administração da universidade.,Un'arma pubblicata,Casa editrice,In una dimostrazione scioccante dell'altruismo i risultati sono stati pubblicati in una serie di riviste mediche per volere dell'Amministrazione dell'Università.,发表了武器,出版公司,在利他主义的令人震惊的展示中，研究结果发表在大学政府的一系列医学期刊上。,武器が出版されました,出版会社,利他主義の衝撃的な展示では、調査結果は大学の政権の趣味の一連の医療ジャーナルに掲載されました。
Advancements in Biology,Laboratory,As the peculiarities of science became more complex families submitted discoveries to journals that resulted in visits from interested parties.,Avances en Química / Ingeniería / Biología,Laboratorio,A medida que las peculiaridades de la ciencia se convirtieron en familias más complejas presentadas descubrimientos a revistas que resultaban en visitas de las partes interesadas.,Fortschritte in Chemie / Engineering / Biologie,Labor,Da die Besonderheiten der Wissenschaft komplexer wurden übermittelte komplexere Familien Erkenntnisse an Zeitschriften die zu Besuche von interessierten Parteien führten.,Avanços em Química / Engenharia / Biologia,Laboratório,Como as peculiaridades da ciência tornaram-se famílias mais complexas submeteram descobertas para periódicos que resultaram em visitas das partes interessadas.,Avanzamenti in Chimica / Ingegneria / Biologia,Laboratorio,Poiché le peculiarità della scienza sono diventate famiglie più complesse hanno presentato scoperte alle riviste che hanno portato a visite alle parti interessate.,化学/工程/生物学的进步,实验室,由于科学的特点成为更复杂的家庭，向导致有关各方访问的期刊提交了发现。,化学/工学/生物学の進歩,実験室,科学の特殊性がより複雑な家族となったので、関係者からの訪問をもたらしたジャーナルへの発見を提出しました。
The Possibility Exists,Laboratory,The thoughts consumed their waking hours compelling them to action. It had to be done the shame they felt would weigh heavily on everything.,La posibilidad existe,Laboratorio,Los pensamientos consumieron sus horas de vigilia que las obligan a la acción. Tenía que hacerse la vergüenza que sentían pesarían mucho en todo.,Die Möglichkeit besteht aus,Labor,Die Gedanken konsumierten ihre Wachstunden die sie zur Handlung zwingen. Es musste mit der Schande getan werden die sie fühlten würde auf alles schwer wiegen.,A possibilidade existe,Laboratório,Os pensamentos consumiram suas horas de vigília atraí-los à ação. Tinha que ser feito a vergonha que sentiam pesaria pesadamente em tudo.,La possibilità esiste,Laboratorio,I pensieri consumavano le ore di veglia convincenti all'azione. Doveva essere fatto la vergogna che sentivano pesereva pesantemente su tutto.,存在的可能性,实验室,这些想法消耗了他们醒着的时间，让他们致力于采取行动。它必须做到他们觉得他们的耻辱会严重重视一切。,可能性が存在します,実験室,思考は彼らが彼らを対象に説得力のある就労時間を消費しました。それは彼らが感じた恥をやっていた必要がありました。
Enemy of the People,Village,The increasingly eccentric actions of the siblings aroused dark memories from the previous generation. ,Enemigo de la gente,Pueblo,Las acciones cada vez más excéntricas de los hermanos despertaron recuerdos oscuros de la generación anterior.,Feind der Menschen,Dorf,Die zunehmend exzentrischen Handlungen der Geschwister erregten dunkle Erinnerungen der vorherigen Generation.,Inimigo das pessoas,Vila,As ações cada vez mais excêntricas dos irmãos despertaram memórias escuras da geração anterior.,Nemico del popolo,Villaggio,Le azioni sempre più eccentriche dei fratelli hanno suscitato ricordi buoni dalla generazione precedente.,人民的敌人,村庄,兄弟姐妹的越来越古怪的动作引起了前一代的暗回忆。,人々の敵,村,兄弟の偏心している行動は、前世代から暗い思い出を喚起しました。
Symposium Failure,University,The scathing negative reviews were most predominant.,Falla del simposio,Universidad,Las revisiones negativas mordaz fueron las más predominantes.,Symposiumfehler,Universität,Die massiven negativen Bewertungen waren am vorherrschendsten.,Falha do Simpósio.,Universidade,As revisões negativas contundentes eram mais predominantes.,Fallimento del simposio,Università,Le recensioni negative che scagliate erano più predominanti.,研讨会失败,大学,严厉的否定审查是最主要的。,シンポジウムの失敗,大学,静脈のネガティブレビューは最も優勢でした。
A Steady Focus,Estate,For those that toiled endlessly on their infernal schemes their reward was one of a deeper understanding.,Un enfoque constante,Inmuebles,Para aquellos que trabajan infinitamente en sus esquemas infernales su recompensa fue una de una comprensión más profunda.,Ein stetiger Fokus,Immobilien,Für diejenigen die endlos auf ihren infernalen Schemata aufgetaucht haben war ihre Belohnung eines tieferen Verständnisses.,Um foco constante,Estado,Para aqueles que trabalharam infinitamente em seus esquemas infernais sua recompensa era uma de uma compreensão mais profunda.,Una messa a fuoco costante,Tenuta,Per coloro che facevano infortunato all'infinito sui loro schemi infernali la loro ricompensa è stata una comprensione più profonda.,稳定的焦点,财产,对于那些无休止地辛苦地辛苦的人在他们的地狱方案上辛苦的人来说，他们的奖励是更深刻的理解之一。,着実な焦点,エステート,彼らの不名誉なスキームの上で際限なく、彼らの報酬はより深い理解の一つでした。
Escaping The Curse,Laboratory,With fists raised to the sky cursing the gods they ended the generation in desperation! Each individual experienced their own bout of isolation and self-destructive mania.,Escapando de la maldición,Laboratorio,¡Con los puños levantados al cielo maldiciendo a los dioses que terminaron la generación en desesperación! Cada individuo experimentó su propio ataque de aislamiento y manía autodestructiva.,Dem Fluch entkommen,Labor,Mit den Fäusten, die auf den Himmel aufgeworfen wurden der die Götter entflammte, beendeten sie die Generation in Verzweiflung! Jeder Einzelne erlebte ihren eigenen Anschlag von Isolation und selbstzerstörerischen Manie.,Escapando da maldição,Laboratório,Com os punhos levantados para o céu amaldiçoando os deuses que acabaram com a geração em desespero! Cada indivíduo experimentou seu próprio bout de isolamento e mania autodestrutiva.,Sfuggire alla maledizione,Laboratorio,Con i pugni alzati al cielo che chiarissero gli dei hanno concluso la generazione in disperazione! Ogni individuo ha sperimentato il proprio incontro di isolamento e mania autodistruttiva.,逃避诅咒,实验室,“与拳头养成天空诅咒众神，他们在绝望中结束了一代！” “每个人都经历过自己的孤立和自我破坏性的狂热”。,呪いを免れる,実験室,「拳を上げて空に育てられた神々は絶望的に世代を終えた。」 「各個人は独自の孤立および自己破壊的なマニアの試合を経験しました」。
Drown Your Sorrows,Village,The story of a group of young scientists who came to the UK to claim an inheritance. They found the village they remembered from their eccentric youth in disrepair. The university that had once represented a bastion of new science was reduced to rubble. The citizens developed a sharp distrust of modern advances in science.,Ahoga tus tristezas,Pueblo,La historia de un grupo de jóvenes científicos que vinieron al Reino Unido para reclamar una herencia. Encontraron el pueblo que recordaban de sus jóvenes excéntricos en mal estado. La universidad que una vez había representado un bastión de nuevas ciencias se redujo a escombros. Los ciudadanos desarrollaron una aguda desconfianza de los avances modernos en la ciencia.,Ertränme deine sorronen,Dorf,Die Geschichte einer Gruppe junger Wissenschaftler die in Großbritannien kam um ein Erbschaft zu beherbergen. Sie fanden das Dorf an das sie sich an ihre exzentrische Jugend in Missbrauch erinnerten. Die Universität die einst eine Bastion der New Science vertrat hatte wurde auf Trümmer reduziert. Die Bürger entwickelten ein scharfes Misstrauen auf moderne Fortschritte in der Wissenschaft.,Afoga suas tristezas,Vila,A história de um grupo de jovens cientistas que vieram ao Reino Unido para reivindicar uma herança. Eles encontraram a aldeia que eles se lembraram de sua juventude excêntrica em desordem. A universidade que uma vez representou um bastião da nova ciência foi reduzida a entulho. Os cidadãos desenvolveram uma desconfiança afiada de avanços modernos na ciência.,Annegare i tuoi dolori,Villaggio,La storia di un gruppo di giovani scienziati che sono venuti nel Regno Unito per richiedere un'eredità. Trovarono il villaggio che ricordarono dal loro eccentrico giovinezza in rovina. L'università che aveva rappresentato una volta un bastione di nuova scienza è stata ridotta a macerie. I cittadini hanno sviluppato una vivace sfiducia dei progressi moderni nella scienza.,淹没了你的悲伤,村庄,一群年轻科学家的故事来到英国来声称继承。他们发现他们从失修中从他们的古怪青年记住的村庄。曾经代表了新科学堡垒的大学被沦为瓦砾。公民对科学的现代进步发动了严峻的不信任。,あなたの悲しみを溺れさせる,村,継承を主張するためにイギリスに来た若い科学者のグループの物語。彼らは彼らが彼らの奇妙な若者から不機嫌な若者から覚えていた村を見つけました。かつての大学は新しい科学の砦を表していた大学が瓦礫に減少しました。市民は科学の現代の進歩の急激な不信を発展しました。
A Grudge Towards Intellect,Pub,The reputation of a famed scientist in Budapest was reviled by the townsfolk. ,Un rencor hacia el intelecto,pub,La reputación de un famoso científico en Budapest fue revelado por los pueblos.,Ein Groll in den Intellekt,Pubieren,Der Ruf eines berühmten Wissenschaftlers in Budapest wurde von den Townsfolk umgebaut.,Um rancor para o intelecto,bar,A reputação de um famoso cientista em Budapeste foi revisada pela Townsfolk.,Un rancore verso l'intelletto,pub,La reputazione di uno scienziato famoso a Budapest è stato reviso dal centro storico.,对智力的怨恨,酒吧,布达佩斯的着名科学家的声誉被Townsfolk谴责。,知性に対する恨み,パブ,ブダペストにおける有名な科学者の評判は、タウンズフォルクによって復活しました。
Overcoming Death,Living Room,A deep restlessness had set into the minds of each and even on the cusp of approval from the academic community they could not quell these thoughts.,Superando la muerte,Sala de estar,Una inquietud profunda había puesto en la mente de cada uno e incluso en la cúspide de la aprobación de la comunidad académica no podían sofocar estos pensamientos.,Tod überwinden.,Wohnzimmer,Eine tiefe Unruhe hatte sich in den Köpfen von jedem in den Köpfen eingesetzt und selbst am Höcker der Genehmigung der akademischen Gemeinschaft die sie diese Gedanken nicht abgeben konnten.,Superando a morte,Sala de estar,Uma profunda inquietação havia colocado nas mentes de cada uma e até mesmo na cúspide da aprovação da comunidade acadêmica eles não podiam resistir a esses pensamentos.,Superando la morte,Soggiorno,Una profonda irrequietezza aveva stabilito nelle menti di ciascuna e persino sulla cuspide di approvazione dalla comunità accademica che non potevano distrecciare questi pensieri.,克服死亡,客厅,一个深度躁动已经设定为每个甚至在学术界的批准罪的思想中，他们无法平息这些想法。,死を克服する,リビングルーム,深い落ち着きのなさはそれぞれの心にセットされていました。
Masters of Their Own Destiny,Laboratory,It seemed the pervasive gloom of Xvillage had infected the halls of the great estates.,Masters de su propio destino.,Laboratorio,Parecía que la tristeza generalizada de Testvile había infectado los pasillos de las grandes propiedades.,Meister ihres eigenen Schicksals,Labor,Es schien dass der durchdringende Truppen des Testvillage die Hallen der großen Immobilien infiziert hatte.,Mestres de seu próprio destino,Laboratório,Parecia que a tristeza generalizada do Testvillage havia infectado os corredores das grandes propriedades.,Maestri del proprio destino,Laboratorio,Sembrava che l'oscurità pervasiva di Testvillage aveva infettato le sale delle grandi proprietà.,他们自己命运的大师,实验室,它似乎是的普遍暗夜感染了大屋村的大厅。,彼ら自身の運命のマスター,実験室,それはテストビリゲージの蔓延した暗闇が素晴らしい不動産のホールに感染したようだった。
Bar venture,Pub,They  humbly submit the legal document in its entirety as an example,Venture del bar,pub,Someten humildemente el documento legal en su totalidad como ejemplo.,Bar Bunt,Pubieren,Sie geben demütig das Rechtsdokument in seiner Gesamtheit als Beispiel,Bar Vendure.,bar,Eles humildemente submetem o documento legal em sua totalidade como exemplo,Barriera,pub,Si presentano umilmente il documento legale nella sua interezza come esempio,酒吧冒险,酒吧,他们谦卑地将法律文件作为一个例子提交,バーベンチャー,パブ,それらは謙虚に法的文書をその全体の例として提出する
The Curse of Knowledge,Village,The townsfolk chose to remain ignorant of the technological advances of the age.,La maldición del conocimiento,Pueblo,Los Townsfolk decidieron permanecer ignorantes de los avances tecnológicos de la Era.,Der Fluch des Wissens,Dorf,Die Townsfolk entschieden sich dafür dass die technologischen Fortschritte des Alters unwissend bleiben.,A maldição do conhecimento,Vila,O Townsfolk optou por permanecer ignorante dos avanços tecnológicos da idade.,La maledizione della conoscenza,Villaggio,Il centro storico ha scelto di rimanere ignorante dei progressi tecnologici dell'età.,知识的诅咒,村庄,Townsfolk选择仍然无知的年龄的技术进步。,知識の呪い,村,町民は、年齢の技術的進歩を無知にし続けることを選択しました。
A Peculiar Biological Study,Study Room,In 1891 cousins became increasingly paranoid about the work of their hardy parental figures.,Un estudio biológico peculiar,Sala de estudio,En 1891 los primos se volvieron cada vez más paranoicos sobre el trabajo de sus figuras parentales Hardy.,Eine eigentümliche biologische Studie,Studierzimmer,1891 wurden Cousins ​​zunehmend paranoid über die Arbeit ihrer harten elterlichen Figuren.,Um estudo biológico peculiar,Sala de estudo,Em 1891 os primos tornaram-se cada vez mais paranóicos sobre o trabalho de suas figuras parentais resistentes.,Uno studio peculiare biologico,Sala studio,Nel 1891 i cugini divennero sempre più paranoici sul lavoro delle loro righe figure genitoriali.,一种特殊的生物学研究,学习室,在1891年，表兄弟越来越偏执狂欢，他们的耐寒父母数据的工作。,独特の生物学的研究,勉強部屋,1891年に、いとこは彼らの硬直な保護者の数字の仕事についてますます妄想的になりました。
The Inevitable,Living Room,There would soon be horrible and unknowable consequences for unnaturally extending one's existence. ,Lo inevitable,Sala de estar,Pronto habrá consecuencias horribles e incognoscibles por extender de manera halagada.,Das Unvermeidliche,Wohnzimmer,Es würde bald schreckliche und unkenntliche Konsequenzen geben um die Existenz unnatürlich zu verlängern.,O inevitável,Sala de estar,Em breve haveria consequências horríveis e incognoscíveis por estender a existência de alguém.,L'inevitabile,Soggiorno,Ci sarebbero presto conseguenze orribili e inconoscibili per estendere in modo innaturalmente la propria esistenza.,不可避免的,客厅,对于不自然扩大的存在，很快就会有可怕和不可知的后果。,避けられない,リビングルーム,不自然に自分の存在を延ばすのに恐ろしい、不明な結果になるでしょう。
A Somber End,Village,Townsfolk showed little respect for the family's past political and charitable stances. ,Un extremo sombrío,Pueblo,Townsfolk mostró poco respeto por las posturas políticas y caritativas del pasado de la familia.,Ein düsteres Ende,Dorf,Townsfolk zeigte wenig Respekt vor den vergangenen politischen und gemeinnützigen Stanzen der Familie.,Um final sombrio,Vila,Townsfolk mostrou pouco respeito pelas posturas políticas e caritativas passadas da família.,Una fine del cupo,Villaggio,La Townsfolk ha mostrato un piccolo rispetto per le passate posizioni politiche e caritatevoli della famiglia.,一个忧郁的结局,村庄,Townsfolk表现出对家庭过去的政治和慈善立场的尊重。,スマーバーの終わり,村,タウンズフォルクは家族の過去の政治的および慈善力を尊重したことを示しました。
Hungarian Bright,Town Hall,Cousins became frustrated by lack of modern convenience. ,Brillante húngaro,Ayuntamiento,Los primos se frustraron por la falta de conveniencia moderna.,Ungarisch hell,Rathaus,Cousins ​​wurden von Mangel an modernem Komfort frustriert.,Brilhante húngaro,Prefeitura,Os primos ficam frustrados pela falta de conveniência moderna.,Luminoso ungherese,Municipio,I cugini sono diventati frustrati dalla mancanza di comodità moderna.,匈牙利语光明,市政厅,表兄弟因缺乏现代方便而感到沮丧。,ハンガリーの明るい,町役場,いとこは現代の利便性の欠如によってイライラされました。
Vote!,Town Hall,When all players have chosen simultaneously reveal your vote,¡Votar!,Ayuntamiento,Cuando todos los jugadores han elegido simultáneamente revelan su voto.,Abstimmung!,Rathaus,Wenn alle Spieler gleichzeitig gewählt haben enthüllen Sie Ihre Stimme,Voto!,Prefeitura,Quando todos os jogadores escolheram simultaneamente revelam sua votação,Votazione!,Municipio,Quando tutti i giocatori hanno scelto simultaneamente rivelano il tuo voto,投票！,市政厅,当所有球员选择同时揭示您的投票,投票！,町役場,すべてのプレイヤーが同時に選択されたとき、あなたの投票を明らかにしてください
Anger and Resentment,Town Center,The mob's flaming torches set the Hospital and Town Hall ablaze leaving multiple individuals severely injured or deceased as they continued into the nearby hills.,Enojo y resentimiento,Centro de la ciudad,Las antorchas llamas de la mafia fijaron el hospital y el ayuntamiento dejando a múltiples personas lesionadas severamente o fallecidas ya que continuaron con las colinas cercanas.,Wut und Ressentiments.,Stadtzentrum,Die brennenden Fackel des Mobs setzen das Krankenhaus und das Rathaus in Flammen die mehrere Personen die stark verletzt werden und verstorben während sie in den nahe gelegenen Hügeln fortgesetzt wurden.,Raiva e ressentimento,Centro da Cidade,As tochas flamejantes da multidão definem o hospital e a prefeitura em chamas deixando múltiplos indivíduos gravemente feridos ou falecidos enquanto continuavam nas colinas próximas.,Rabbia e risentimento,Centro città,Le torce fiammeggianti della mob mettono l'ospedale e il municipio in fiamme lasciando più individui gravemente feriti o deceduti mentre continuavano nelle vicine colline.,愤怒和怨恨,市中心,暴徒的火焰状火炬将医院和城镇霍尔烧毁留下多个人严重受伤或死亡的人，因为他们继续进入附近的山丘。,怒りと憤り,中心街,暴徒の燃えるようなトーチは、病院と市庁舎を盗んだけがをしました。
