//====== Gen1 - Fever ======;
// ---Hub---;
Fever_Bank_Title;BANK
Gen1SanityYes_Content;Perhaps the weight of the work lay heavy upon their shoulders or the stress of parenthood prompted a needed escape. In either case, {{0=...|Oliver|James|Olivia|...}} would utilize this second home often. As they contemplated the calm ocean waters from their seaside villa, their child was left in the care of servants and spent their winters within the solitary stone walls of the cold estate.
Gen1SanityNo_Title;Time is Precious
Gen1SanityNo_Content;There was no time to rest. And even if there was, the frequent bouts of insomnia {{0=...|Oliver|James|Olivia|...}} experienced certainly eliminated the option. It was all in the work. They were convinced that this obsession that carved lines into their graying skin was more important than self-preservation. How could they vacation while perched on the precipice of a triumphant victory?
// ---FeverServe1---;
FeverServe1_Title;Fortuitous Assistance
FeverServe1_Content;The small village certainly offered a degree of seclusion and a minute amount of rustic charm on the days when gangrenous bodies of the afflicted were not carted through the streets. But in accordance with this anonymity, it did not easily provide the luxuries generally afforded to the whims of {{0=|two|three|four}} young aristocrats and their spouses.<br /><br />The family was overjoyed then to receive a letter from some of their most trusted colleagues - however, this joy abated when they detailed an opportunity to offer wardship and tutelage to unfortunate youths failing in their studies. While the interruption was exasperating, an additional hand would allow them more time to focus on important work and to avoid the aromas of the local peasantry.<br />
// ---S5Special---;
S5Special1_Title;The Town Is in Need of Direction
S5Special1_Content;After the untimely death of the current mayor (and the previous three), the town was once again embroiled in politics. While several mediocre businessmen had thrown their hats into the arena, the family sensed a restlessness in the small village as they searched for direction forward. Having been raised with an affinity for friendly competition, it was decided that governance would be a droll leisure activity for the family. They decided to use their influence to sway the election in their favor.<br /><br />This was especially pressing as the new mayor would immediately 
S5Special1A_Title;A Bid for Mayor
S5Special1B_Title;Humble Beginnings
S5Special1B_Content;The family had made their first mark on the history of the town, for good or ill. It would be several years before they would understand the ominous ramifications of this decision, but it was clear that life in {{0=...|London|Dubai|Paris|...}} would never again be the same.
S5SpecialSetup1B_Title;Direction of the Town
// ---FeverServe2---;
FeverServe2_Title;Daughters Entrusted
FeverServe2_Content;During the heat of summer, a handsomely dressed woman arrived at each estate with a letter in hand. Interestingly, a former business associate of their mother's requested a daughter be put under each of the houses' charge - along with a considerable stipend to offset the cost. While an appreciable burden, it was irrefusable given the social mores of the time. Being twenty-three and therefore past the age of reasonable marriage, she accepted the new labors with a somewhat heavy heart and was quickly ingratiated into the fold.
// ---FeverHeart---;
FeverHeart_0_Title;Legacy of Charity
FeverHeart2_0_Title;Charity Awarded
// ---S5Fate---;
S5Fate1_Title;Financial Woes
S5Fate1_Content;The village of {{0=...|London|Dubai|Paris|...}} was, for lack of a more appropriate term, agricultural in its funds and like many similar small villages, were woefully unprepared for the ravages of disease. Despite the generosity (or lack thereof) of the family, the church's already severely limited resources have been stretched to their limit in their distinctly unscientific attempts to stem the spread of infection. With no more donations to call upon, the diocese turned to the local financial institutions for aide.
S5Fate1_Content1;With additional financial capital from the <b>Bank</b>, the church obtained the funds needed to build a Hospital. 
S5Fate1_Content2;The addition of a <b>Library</b> to the already strained finances of the village proved insurmountable, and the church failed to build a Hospital. Perhaps the lifestyle of an aristocrat blinded the mayor to this reality, but it was certain that the village would progress down a darker path.
S5Fate2_Title;FATE of the Infected
S5Fate2_Content;The congregation and citizenry, stricken with the weight of those lost in the battle with Yellow Fever, could only provide a meager sum, which placed the financial future of the village into the hands of the most charitable scientists.
S5Fate2_Content1;<b>SUCCESS!</b><br />With charitable contributions totaling over <b>{{0=...|6|7|8|9|10|...}}</b> <icon=S1_HeartToken>, the Hospital was built. The additional medical infrastructure provided the town a respite from another severe outbreak and ushered in a new era.
S5Fate2_Content2;<b>FAILURE!</b><br />With charitable contributions failing to exceed <b>{{0=...|6|7|8|9|10|...}}</b> <icon=S1_HeartToken>, the Hospital was not built. This ill-timed news was delivered just as several new cases of influenza spread across the region. Without the Hospital, the results were drastic.
//====== Gen2 - Hospital ======;
// ---Hospital Intro---;
HospitalIntro_SubTitle;Thriving in Adversity
HospitalIntro_Content;It is said that springtime under the watchful eye of the snow-tipped Carpathian mountains is a wondrous sight to behold. A single excursion in these rolling hills amongst the paths that split green grass is said to reinvigorate the lonely traveler. It is common to catch the aroma of sweet bread in the air, the sounds of babbling streams with moss-covered roots sipping the cool waters, and the richness of golden honey sunsets illuminating the countryside. If but for one season, a certain blitheness, a blissful simplicity of purpose alights the torch of poetry in the dark minds of men.<br /><br />Therefore, perhaps it is most appropriate that the return of the scientists coincided with this season, as thanks to their predecessors' aid the town had become rejuvenated. The ashen grayness that once dominated the small town had been brightened, like the azalea flowers and crocus that now bloomed in window boxes along the streets.<br /><br />The new hospital had become a site of great hope and strength for the people and the town was able to weather the disease even while the newspapers described the bleakness of the surrounding cities. Due to the work of their progenitors, honorary positions on the board of trustees at the hospital were awarded to their sons and daughters -  positions which they sadly could not refuse. However, this controlled proximity to the ravages of disease also offered a boon for scientific inquiries and exploration.<br /><br />This serendipitous push forward in disease prevention attracted the attention of not only the diocese, but also the scientific community hoping to replicate their success. There were even rumors of a government-sponsored university -  a prospect that caused great tension within the church and the townsfolk used to their isolated and bucolic existences.<br /><br />The possibilities for advancement - and exploitation - seemed limitless. But, would their ingenious and unorthodox ambitions prove too unconventional for the cautious minds of academia? Or would the pressures of rejection from their peers break their indomitable spirit?
EradicateDisease_Title;The Cure
EradicateDisease_Content;They dined together on weekends, accepting hosting duties with a benign reciprocity. As such, many an evening's conversation descended into more hotly contested subjects of the time. No topic was more pervasive than disease. And most specifically, Yellow Fever -  with the incessant sound of coughing and chiming of bells with every breeze.<br /><br />While they agreed that for a {{0=|duo|trio|quartet}} of respectable, infamous scholars, this problem should prove trivial, it was the actual curing effect that was hotly contested. The disease provided them a decent concealment for their surreptitious enterprise. Were they to become philanthropists, it may prove detrimental to secrecy.<br /><br />They decided to leave the matter up to personal pursuits. If someone felt industrious enough to complete it, then so be it.
ChooseScience_Content;<br /><br /><b>"Universal Interest" - Journal Entry - November, 1859 - {{0=...|Oliver|James|Olivia|...}}</b><br /><br />It has been three days since I received a letter from the Hungarian government and two days since my cousins deigned it necessary to make me the target of their ridicule. My parents cared deeply for this horrid community - a sentiment that those miscreants know nothing about!<br /><br />I am not some groveler who needs confirmation from the stuffed shirts and upturned noses of European academies. But, getting to choose the <b>subject of the upcoming Symposium</b> that could very well determine if a <b>University</b> is built in {{1=...|London|Dubai|Paris|...}}?<br /><br />My parents instilled into me a scientific vigor that far surpasses even the members of my own, somewhat beloved, family. As I returned from studies abroad, it was my own aptitudes that spearheaded my cousins into action. Damn them and their jibes! I will show them. In fact, I have already made my choice and penned my response. It will be I who will be doing the laughing in the end.
ThirtyFiveVp_0_Title;Planned Destruction
ThirtyFiveVp_0_Content;From the letters and journal entries of the young entrepreneurs, we can see a deeply seated rivalry between them, spurred onward by feelings of inadequacy, solitude, and betrayal. Nothing was more insidious than the moments when they actively sabotaged the work of others for their own benefit.<br />
Gen1InsanityYes2_Title;Absent Parent
Gen1InsanityYes2_0_Content;An investment in a summer home may have calmed their parent's nerves during times of stress, but it also meant time away from the Estate. These increasingly frequent visits to rekindle sanity meant {{0=...|Oliver|James|Olivia|...}} II's childhood guidance came more from the servants around the home than from their parental figures. This left an unfortunate void in their psychological development, one that affected their actions for the remainder of their life.
// ---Hub---;
Hospital_Title;Thriving in Adversity
Hospital_Board_Title;<icon=Storybook><b> Board of Trustees</b>
Hospital_Board_Content;Due to the efforts of your family, the Hospital has graciously awarded you with a seat on the Hospital's board of trustees.
Hospital_Hospital_Title;Hospital
Hospital_Cure_Title;<icon=StorybookToken><b> The Cure</b>
Hospital_Panacea_Title;<icon=StorybookToken><b> The Panacea</b>
Hospital_ImmortalitySecret_Title;<icon=StorybookToken> <b>The Secret to Immortality</b>
Hospital_ScientificAdvances_Title;<icon=StorybookToken><b> Scientific Advances</b>
Hospital_VictoryAhead_Title;<icon=StorybookToken><b> Victory Ahead</b>
Hospital_Symposium_Title;<b>University Symposium</b>
Hospital_Symposium_Content1;determine the fate of a <b>University</b> in town in the spot where the Traveling Caravan resides. 
// ---Hospital Visit Check---;
HospitalVisitCheck_Title;A Compulsory Visitation
HospitalVisitCheck_Content;The {{0=...|London|Dubai|Paris|...}} General Hospital was one of the first hospitals in the region. Established in 1865, it was instrumental in changing the public perception of a hospital from a place you go to die to a place of healing with the most modern advances in medicine.<br /><br />On the day of the visit, several nurses bandied about, treating patients from nearby villages with symptoms of the Yellow Fever{{1=?| and using the innoculation techniques that the family had recently published}}.
HospitalVisitReject_Title;Kind Rejection
HospitalVisitReject_Content;Legal proceedings were still ongoing due to their previous visit to the Hospital grounds. Therefore, Dr. {{0=...|Oliver|James|Olivia|...}}'s repeated presence was not well-received by the staff nor by the other cousins who were forced to witness them debase themselves by raising their voice and trying to forcefully gain entry to the facility.<br /><br />Was it madness that drove them to it or a deep obsession that even this humble biographer cannot fathom? Whatever mental deficiency urged them onward, it certainly did not have the desired outcome.<br />
HospitalVisitCheck2_0_Title;Visitation Report: Dr. {{0=...|Oliver|James|Olivia|...}}
HospitalVisitCheck2_0_SubTitle;Notes submitted by Nurse Varga
HospitalVisitCheck2_0_Content1;Dr. {{0=...|Oliver|James|Olivia|...}} seemed in a hurry. Dismissed each area as sterile and uninspired. Until we arrived at the operating room. Immediately became enraptured, fixated, and I had to thrice repeat myself before they responded.<br /><br />{{1=?|"This is all wrong. What do they teach in these surgeon schools?" Dr. {{0=...|Oliver|James|Olivia|...}} asked, clearly not expecting an answer and brazenly entered the operating room to accost the surgeons on duty. They retrieved a scalpel and insisting on completing the operation themselves. I have never seen so much blood.|Their response was muffled and I was unable to stop them from entering the theater. Their face was etched in a hideous grin as they stood at the center with their hands raised into the air. At this point, they either refused to listen or entered a catatonic state which left them motionless for nearly an hour.}}<br /><br />At this point, {{0=...|Oliver|James|Olivia|...}} had to be escorted by security from the premises. They are barred from any further tours of the facilities.
HospitalVisitCheck2_0_Content2;Relatively uneventful visit, though unsettling. Dr. {{0=...|Oliver|James|Olivia|...}} requested a tour through the wards.<br /><br />{{1=?|Mostly disinterested and silent. However, our visit to the morgue was longer than to my liking. Dr. {{0=...|Oliver|James|Olivia|...}} kept insisting on inspecting the more extreme cases, excitedly asking questions while I unsuccessfully attempted to stop them from physically handling the deceased.|At one juncture, Dr. {{0=...|Oliver|James|Olivia|...}} approached a patient in the hallway that had been confined to a bath chair. Unprompted, they began a through examination of the individual, palpating their hairline and skull with their fingers. To my dismay, they were enraptured by a rash along the patients cheek which was covered in small protusions and red boils. They insisted on collecting several samples of the fluid they produced.}}<br /><br />After requesting access to more severe emergency cases, we walked the grounds. They kept stating that the facilities were "unimpressive compared to their own." I shudder to think on what that phrase means.
Gen1InsanityNoExtraAction_Title;More Time Than Ever
Gen1InsanityNoExtraAction_Content;{{0=...|Oliver|James|Olivia|...}} II's parent had instilled in them a strict work ethic. Their refusal to purchase a summer home at their colleague's insistence, while stressful, had allowed them time to engender this familial connection.<br /><br />And so this matter of administrative duties was handled with the utmost brevity, allowing them to focus on the monumental task at hand.<br />
// ---Hospital Define---;
HospitalDefine_Title;Hospital
// ---Yellow Fever Cure---;
YellowFeverCureSignin_Title;Yellow Fever Inoculation
YellowFeverCureSignin_Content;Through sheer perseverance and months of exposing both themselves, their spouse, all their servants, and several delivery persons to potential curing agents in different hues of yellow, a surprisingly effective solution was created that could be administered intravenously.<br /><br />
MethodUnicure_Title;Local Scientist Discovers Inoculation for Yellow Fever
MethodUnicure_0_Content;The local headlines were inevitable. While history may ascribe a later date to this monumental event due to the volatile nature of simply injecting oneself with the viscous black and yellow vomit of an infected individual, it was an unsettling leap forward in our understanding of antibodies and herd immunity.<br /><br />The scientific establishment{{0=?|, although pensive about my recent lecture,}} was thrilled by the discovery of a cure for the pervasive disease. Dr. {{1=...|Oliver|James|Olivia|...}} Jr. was urged to release their curious methodology in a series of published journal entries to offer peer review and additional critique. However, they were reticent to immediately share findings before obtaining a patent. This knowledge could provide a lucrative financial outlet.<br /><br />
Unicure1_Title;Published!
Unicure1_Content;While inevitably the findings were deemed underdeveloped by the prevailing medical institutions, the discussion they set forth resulted in the name {{0=...|Oliver|James|Olivia|...}} being bandied about for years to come. The release of this knowledge even had a minor sedative effect on the locals -  those poor, gullible wretches.
Unicure2_Title;Patented!
Unicure2_Content;{{0=...|Oliver|James|Olivia|...}} Jr. was known for their incisive wit and even more acute business dealings. Shirking the potential admiration of medical elites, {{0=...|Oliver|James|Olivia|...}} hastily submitted a patent for this breakthrough in disease prevention. While it ensured a hefty sum for royalties, the locals eyed this new development as yet another attempt by aloof eccentrics to toy with the lives of the poor and their wariness increased.
// ---Panacea---;
PanaceaIntro_Title;Eradication Forever
PanaceaIntro_Content;Were they still not satisfied? The family pondered this as they enjoyed their morning tea on the veranda, peering over the countryside from behind their gothic spires while their experimentations simmered in the laboratories deep in their manors. The people, the scientists, the church -  which institution would be the next to take exception to their important discoveries?<br /><br />A Cure-All, or Grecian Panacea, became the newest topic of considerable divisiveness. It was the logical next step. Some in the family dismissed it as a waste of energy, while others valued it as a sought-after proposition.
Panacea_Title;A Cure for All
Panacea_Content;It seemed that finally, after years of tireless dedication, a solution to the ails of all men had been formulated. The family was divided on the efficacy of this course of action, but one individual forged ahead recklessly, headless to their warnings.
PanaceaMessage_0_Title;Unintended Results
PanaceaMessage_0_Content;The dedication to the task was clear. My research unearthed several journals filled with line after line of a single mathematical formula, handwritten and repeated ad nauseam, followed by a chemical formula with slight alterations over time. The obsession literally spanned volumes and eventually paid large dividends.<br /><br />While technically the resulting solution did in fact "cure" all diseases, it also resulted in the death of the test subject, the liquification of their bones, dissolution of skin, and eventually five meters of solid ground in the affected area.<br /><br />A concoction such as this, despite its volatile nature, could offer legitimate scientific benefits upon publication. However, there were, of course, other options...<br />
PanaceaMessage_0_Content1;<b>Do you wish to publish your findings or would you like unleash your creation on your rivals?</b><br />
PanaceaMessage_0_Content2;Publish my findings for fame.
PanaceaMessage_0_Content3;Unleash my creation!
Panacea1_Title;A Weapon Published
Panacea1_Content;In a shocking display of altruism, the findings were published in a series of medical journals at the behest of the university's administration. The published work was controversial, but considered revolutionary, as the strength of the failed <b>Panacea</b> had several alternative applications.<br /><br />The local population, while grateful for the additional tourism, were less than consoled. As much as it was innovative, it was also a secretly manufactured chemical so devastating that all organic matter deteriorated within minutes of it's application.<br />
PanaceaTooOld_Title;Too Old
PanaceaTooOld_Content;With only a few years left in their existence, and hence the existence of their familial rivals, {{0=...|Oliver|James|Olivia|...}} realized that it was too late for their creation to have a critical effect on their endeavors.<br /><br />This crucial realization was certainly prompted by the entire reserves of the concoction being exhausted one evening when testing the local livestock. Ah, how the mind fades with old age!<br />
PanaceaUnleash_Title;"April Fools Day" - Journal Entry - 1882 {{0=...|Oliver|James|Olivia|...}} Jr.
PanaceaUnleash_Content;It was a fine summer morning when I heard a piercing scream from the garden. While I had grown relatively accustomed to this cry of distress in my experimentations, it was decidedly peculiar to hear the sound over morning coffee and crepes.<br /><br />After sashing my robe about me, I exited the manor in time to witness the final moments of a servant tending to the trimming. With a quick lurch, they turned towards me, now beyond sound as their facial features collapsed inwardly. Sanguine chunks of flesh fell to the ground and sizzled like bacon grease on the grass. Within seconds, the human figure that once tended to our garden was a sloshy pile of pink and white froth on the lawn and whatever substance had caused it had seeped deep into the ground, creating a considerable hole in the landscaping.<br /><br />I took a sip of coffee and examined a nearby glass vial labeled as "vital elixir for use in the prevention of disease." I recognized our dear cousin's penmanship instantly -  the prankster!<br /><br />However, unfortunately, another servant stood slack-jawed near the gate, having witnessed the entire spectacle. It would be difficult to replace this worker.<br /><br />
// ---Trigger 3 Experiments---;
Trigger3Experiments_Title;<b>Advancements in {{0=| |Chemistry|Engineering|Biology}}</b>
ThreeExperimentsRes_Title;<b>Advancements in {{0=| |Chemistry|Engineering|Biology}}</b>
ThreeExperimentsRes_Content;As the years ambled onward and the peculiarities of their experimentations became more complex, it was not unheard of for the family to submit discoveries to scientific and medical journals. While most were summarily rejected, this constant stream of inquiries sometimes resulted in visits from interested parties.<br /><br />One such visitation occurred at the laboratory of {{0=...|Oliver|James|Olivia|...}}. While frightening to behold at first, they were intrigued by the exceedingly complex {{1=| |labyrinthine weaving of rubber tubing, chemicals, and simmering beakers of various shapes and sizes along the walls.|vestibule filled with electrical coils, switches, dials, and several large metal cabinets with blinking red lights (a dazzling rarity in that age).|display of colorful Chemicals and unique specimens collected (and created) over time.}} Certainly immense strides forward had been made in {{2=| |chemistry|engineering|biology}}.<br /><br />It was only natural that they provided encouragement and financial resources to help preserve this unique arrangement. Especially after being informed that it was the only way they would leave the premises unaltered.
// ---Trigger 35 Points---;
Trigger35Points_A_Title;<b>"Nasty Rumors" - Journal Entry, 1878</b>
Trigger35Points_A_Content;To reach the pinnacle of understanding, only to feel the cruel hand of treachery. The rest of the family was noticeably not distraught when a recent article in the regional newspaper spread an uncomfortable rumor about my personal hygiene.<br /><br />I do not have time for this interruption! I do not smell like pickles! It is the formaldehyde solution for my most recent experiment. It is not the smell of pickles -  it is the smell of SCIENCE!
Trigger35Points_B_Title;<b>"Unfortunate Accident" - Journal Entry, 1876</b>
Trigger35Points_B_Content;My work! My property! Sabotaged.<br /><br />I awoke this evening to find my home on fire and the culprits nowhere to be found. But, I know who did it. I could still smell the chemical reaction as the fires raged. I would have never expected my cousins to stoop to such a base level. Direct and blatant sabotage? Absolutely unconscionable.<br /><br />It will take weeks for my spouse to manage the removal of the damaged piece of our Estate. They are all just jealous of my genius!
// ---Immortality---;
Immortality_Title;Overcoming Death
Immortality_Content;If not now, then when? The cousins pored over this question. How long would they remain relegated to an eccentric footnote murmured amongst the townspeople? Why must they toil in their most important labors under the cover of darkness and stone like vermin? A deep restlessness had set into the minds of each, and even on the cusp of approval from the academic community, they could not quell these thoughts.<br /><br />It was trivial to discuss meager experimentations when the solidification of such a poignant legacy repeated fruitlessly generation upon generation. If only time was no longer an obstacle.<br /><br />They vowed to accumulate a wealth of knowledge in their fields of expertise that far surpassed the pitiable ruminations of ancient scholars. Perhaps if they pushed forward into the unknown they would harness new and untold powers. Their evening conversations spurred them to devise a way to cheat the most sacred and inevitable truth of existence.<br /><br />For if life can be taken and altered by humanity into its most cruel and twisted form, surely that same spark could be endlessly preserved!<br /><br />
Gen1CreepyRefuseBonus_0_Title;A Strange Visit
Gen1CreepyRefuseBonus_0_Content;Consumed by the immense scientific enterprise they have undertaken, the cousins rarely allowed moments to indulge visitation. However, after they had ignored several missives from a strange organization, a group of individuals arrived at {{0=...|Oliver|James|Olivia|...}}'s estate with an un-sprung cart full of building materials.<br /><br />It appeared that they were aware of {{0=...|Oliver|James|Olivia|...}}'s <b>parent's refusal</b> to accept a suspicious gift, a refusal that avoided catastrophic consequences too horrible to describe. Without further explanation though, they had procured the necessary materials to construct a gift and were set upon the task immediately. <br /><br />
Gen1CreepyAgreedReturn_0_Title;Order of St. Hubertus
Gen1CreepyAgreedReturn_0_Content;On an unseasonably warm evening with a thick fog obscuring their arrival, an operative from the Order of St. Hubertus knocked upon the estate door. There, at the entranceway with no intent to venture further, the man addressed {{0=...|Oliver|James|Olivia|...}} II in an authoritative tone.<br /><br />The man peered out from under his cloth hood, his eyes glowing with unnatural light. "Though we no longer have claims to this region, our assistance is not given without cost. And your family's debt has come due," the man stated while several other cloaked individuals emerged from their carriage, small blades visibly clutched between their fingers.<br /><br /><br /><br />It seemed that decision of their parent had finally come to fruition. The gentlemen were kind enough to offer {{0=...|Oliver|James|Olivia|...}} II a choice of debt repayment.<br /><br />
Gen1CreepyAgreedReturn_1_Title;Fraternity of Hunters
Gen1CreepyAgreedReturn_1_Content;On an unseasonably warm evening with a thick fog obscuring their arrival, an operative from the Fraternity of Hunters knocked upon the estate door. There, at the entranceway with no intent to venture further, the man addressed {{0=...|Oliver|James|Olivia|...}} II in an authoritative tone.<br /><br />"Though we no longer have claims to this region, our assistance is not given without cost. And your family's debt has come due. We kindly ask for immediate remuneration," the man stated while several other burly individuals emerged from their carriage, tapping various gleaming bludgeoning instruments against their palms.<br /><br /><br /><br />The gentlemen were kind enough to offer {{0=...|Oliver|James|Olivia|...}} II a choice of debt repayment.<br /><br />
InfinityClick1_Title;Research Completed
InfinityClick1_Content;It seemed unimaginable -  not simply a cure for all disease, but a mysterious contrivance to extend life indefinitely. Perhaps, those that pursued this heretical course of action should not have postulated, "could it be done?" Instead, they might have asked themselves, "but at what cost?"<br /><br />
InfinityClick2_Title;<b>The {{0=|Secret to|Marvelous|Discovering|Forward to}} Infinity Journal Entry {{1=...|Oliver|James|Olivia|...}} </b>
InfinityClick2_Content;There is no doubt in my {{0=|immaculate brain|inestimable mind}}. With this research completed, {{1=|I have surely unlocked a most flawless scheme to extend my existence indefinitely!|the world will tremble at the mere utterance of my name.}} The ravages of time will no longer have an effect on my work and I will be free to face the {{2=|infinite|future}} unimpeded by this mortal coil!
ImmortalityMwUpdate_Title;The True Secret
ImmortalityMwUpdate_Content;The family's pursuit of everlasting life brought new and inspirational concepts to the forefront. These ideas could verify the seemingly untenable Masterwork blueprints created by their Grandfather.<br /><br />
ImmortalityMwUpdate2_Title;The Possibility Exists
ImmortalityMwUpdate2_Content;The thoughts consumed their waking hours, compelling them to action. Surely if a form of <b>Immortality</b> can be so readily created by the family, then a more perfected version was just on the horizon. It would need to be done. It had to be done, or the shame they felt would weigh heavily on everything their exceptional lineage had created thus far.<br />
// ---Symposium Event---;
SymposiumEvent1_Title;A Collection of Esteemed Colleagues
SymposiumEvent1_Content;The journey to the newly created city of Budapest for the {{0=| |Chemistry|Engineering|Biology}} Symposium was uncharacteristically dour. However, this dreadful murkiness could not dampen the spirits of the {{1=|two|three|four}} -  nor could the sojourn in the marginal accommodations prepared for their arrival. For the cousins, this recognition for their efforts to advance science at all costs was considerably well-deserved and long-overdue.<br /><br />The University was abuzz with activity as they attended various events and offered their prescribed greetings.<br />
SymposiumEvent2_Title;For the Advancement of {{0=| |Chemistry|Engineering|Biology}}
SymposiumEvent2_Content;The symposium began with a series of lectures from various noted {{0=| |chemists|engineers|biologists}} from Eastern Europe. When it was their time to present, each cousin in turn rolled in a large cart covered with a velvet blanket to conceal their work until the appropriate moment during the lecture.<br /><br />As noted by several critics, each family member went well over their allotted time, providing eye-opening live demonstrations during the peak of their lectures that required many in the first rows of the operating theater to change into a clean outfit after the end of the exhibition.<br /><br />The spirited presentations stunned the community to abject silence.<br />
SymposiumEvent3_Title;The Fate of the Lecture Series
SymposiumEvent3_Content;If it amounted to anything, those in attendance were certainly astonished by the eccentricities witnessed that day. Some weaker-willed individuals were prone to nausea and fainting spells during the speeches, clearly in deference to the astounding breadth of visionary experimentation.<br /><br />But, were their efforts enough to sway the most notable scientific minds of the time?<br /><br /><b>SYMPOSIUM RESULT</b><br />
SymposiumFail_Title;Symposium Failure
SymposiumFail_Content;"Preposterous. A vaudevillian side-show." The scathing negative reviews were most predominant. {{0=|Then, we were treated to a ghastly vivisection of a wailing goat while an electrical device stimulated the nervous reflexes. Had I known, I would have brought an umbrella.|Steam shot from the abominable contraption's eye sockets as the speaker mumbled a rhythmic incantation that, if it had any effect at all, was to cause a ringing in my ears for hours afterward.}}<br /><br />A professional scolding soon followed from notable experts in the {{1=| |chemistry|engineering|biology}} field. Accused of peddling contentious pseudo-science, the cousins were informed that they would not be receiving any invitations for lecture opportunities in the future.<br /><br />The family returned home, each writing scathing remarks within their respective journals. They concluded that while they were no longer welcome at the University, "they were also never planning to return anyway."<br /><br />
SymposiumMiddle_Title;A Cure for Yellow Fever
