Tag;English_Source;Italian_Source
Gen1SanityTrackRes_0_Content;"You shouldn't drive yourself so hard," the letter stated. "It is unsustainable. For each night you toil away until dawn's light, it takes years from your mind."<br /><br />While the nature of their work ensured that it was performed in solitude, {0}, and their spouse especially, still enjoyed writing letters to the few friends who would receive them. This particular letter from an old colleague at university recommended a specific retreat in Rovinj, where the warm Mediterranean air would rejuvenate the body and quiet the mind. For a small price, they could own a vacation home.<br /><br />While this time away could have a negative affect on their child, it would also allow them to <b>gain knowledge</b> and <b>calm their sanity</b>. Refusal, however, would carry no risk and maybe give them more time to complete their labors.;"Non dovresti sforzarti così tanto", affermava la lettera. "È insostenibile. Ogni notte che passi a faticare fino all'alba ti ruba anni dalla mente."<br /><br />Sebbene la natura del suo lavoro richiedesse che venisse svolto in solitudine, {0} amava ancora scrivere lettere ai pochi amici che le ricevevano. Questa lettera in particolare, proveniente da un vecchio collega di università, consigliava un ritiro a Rovigno, dove la calda aria mediterranea avrebbe ringiovanito il corpo e placato la mente. Per una piccola cifra, avrebbero potuto acquistare una casa per le vacanze.<br /><br />Sebbene questo periodo lontano da casa avrebbe potuto avere un effetto negativo sul figlio, avrebbe anche permesso loro di <b>acquisire conoscenze</b> e <b>calmare  la propria sanità mentale</b>. Rifiutare, tuttavia, non avrebbe comportato alcun rischio e forse avrebbe dato loro più tempo per completare il loro lavoro.
Gen1SanityYes_Title;Vacation Offer Accepted;Offerta di Vacanza Accettata
Gen1SanityYes_Content;Perhaps the weight of the work lay heavy upon their shoulders or the stress of parenthood prompted a needed escape. In either case, {0} would utilize this second home often. As they contemplated the calm ocean waters from their seaside villa, their child was left in the care of servants and spent their winters within the solitary stone walls of the cold estate.;Forse il peso del lavoro gravava sulle sue spalle o lo stress della genitorialità lo spingeva verso una fuga necessaria. Qualunque fosse il motivo, {0} utilizzava spesso questa seconda casa. Mentre contemplava le calme acque dell'oceano dalla villa sul mare, il suo bambino veniva affidato alle cure della servitù e trascorreva gli inverni tra le solitarie mura di pietra della gelida tenuta.
Gen1SanityNo_Title;Time is Precious;Il Tempo è Prezioso
Gen1SanityNo_Content;There was no time to rest. And even if there was, the frequent bouts of insomnia {0} experienced certainly eliminated the option. It was all in the work. They were convinced that this obsession that carved lines into their graying skin was more important than self-preservation. How could they vacation while perched on the precipice of a triumphant victory?;Non c'era tempo per riposare. E anche se ci fosse stato, i frequenti attacchi di insonnia che {0} aveva sperimentato eliminavano certamente la possibilità. Era tutta una questione di impegno. Era convinto che questa ossessione che incideva rughe sulla sua pelle grigiastra fosse più importante dell'autoconservazione. Come poteva prendersi una vacanza mentre si trovava prossimo al culmine di una vittoria trionfante?
FeverServe1_Title;Fortuitous Assistance;Assistenza Fortuita
FeverServe1_Content;The small village certainly offered a degree of seclusion and a minute amount of rustic charm on the days when gangrenous bodies of the afflicted were not carted through the streets. But in accordance with this anonymity, it did not easily provide the luxuries generally afforded to the whims of {0} young aristocrats and their spouses.<br /><br />The family was overjoyed then to receive a letter from some of their most trusted colleagues - however, this joy abated when they detailed an opportunity to offer wardship and tutelage to unfortunate youths failing in their studies. While the interruption was exasperating, an additional hand would allow them more time to focus on important work and to avoid the aromas of the local peasantry.<br />;Il piccolo villaggio offriva certamente un certo isolamento e un minimo di fascino rustico nei giorni in cui i corpi incancreniti degli afflitti non venivano trasportati per le strade. Ma, in linea con questo anonimato, non offriva facilmente i lussi generalmente concessi ai capricci di {0} giovani aristocratici e delle loro consorti.<br /><br />La famiglia fu felicissima di ricevere una lettera da alcuni dei loro colleghi più fidati, ma questa gioia si placò quando questi illustrarono l'opportunità di offrire alloggio e tutela a giovani sfortunati che non riuscivano negli studi. Sebbene l'idea dell'interruzione della quiete fosse esasperante, un aiuto in più avrebbe permesso loro di concentrarsi su lavori importanti ed evitare gli odori della gente del posto.<br />
S5Special1_Title;The Town Is in Need of Direction;La Città ha bisogno di una Direzione
S5Special1_Content0;After the untimely death of the current mayor (and the previous three), the town was once again embroiled in politics. While several mediocre businessmen had thrown their hats into the arena, the family sensed a restlessness in the small village as they searched for direction forward. Having been raised with an affinity for friendly competition, it was decided that governance would be a droll leisure activity for the family. They decided to use their influence to sway the election in their favor.<br /><br />This was especially pressing as the new mayor would immediately ;Dopo la prematura scomparsa del sindaco in carica (e dei tre precedenti), la città si ritrovò nuovamente coinvolta nella politica. Mentre diversi mediocri imprenditori si erano fatti avanti, la famiglia percepiva un'irrequietezza nel piccolo villaggio, alla ricerca di una direzione da seguire. Essendo stati cresciuti con un'affinità per la competizione amichevole, i fratelli decisero che l'amministrazione sarebbe stata una divertente attività ricreativa per la famiglia. Usarono pertanto la loro influenza per influenzare le elezioni a loro favore.<br /><br />La materia era particolarmente urgente poiché il nuovo sindaco avrebbe immediatamente
S5Special1A_Title;A Bid for Mayor;Un’Offerta per la Poltrona
S5Special1B_Title;Humble Beginnings;Umili Origini
S5Special1B_Content0;The family had made their first mark on the history of the town, for good or ill. It would be several years before they would understand the ominous ramifications of this decision, but it was clear that life in {0} would never again be the same.;La famiglia aveva lasciato il suo primo segno nella storia della città, nel bene o nel male. Ci sarebbero voluti diversi anni prima che comprendessero le inquietanti conseguenze di questa decisione, ma era chiaro che la vita a {0} non sarebbe mai più stata la stessa.
S5SpecialSetup1B_Title;Direction of the Town;La Direzione della Città
FeverServe2_Title;Daughters Entrusted;Una Figlia Affidata
FeverServe2_Content;During the heat of summer, a handsomely dressed woman arrived at each estate with a letter in hand. Interestingly, a former business associate of their mother's requested a daughter be put under each of the houses' charge - along with a considerable stipend to offset the cost. While an appreciable burden, it was irrefusable given the social mores of the time. Being twenty-three and therefore past the age of reasonable marriage, she accepted the new labors with a somewhat heavy heart and was quickly ingratiated into the fold.<br /> - along with a considerable stipend to offset the cost. While an appreciable burden, it was irrefusable given the social mores of the time. Being twenty-three and therefore past the age of reasonable marriage, she accepted the new labors with a somewhat heavy heart and was quickly ingratiated into the fold.;Al culmine dell'estate, una donna elegantemente vestita si presentò alla tenuta con una lettera in mano. Un ex socio in affari della madre richiedeva che la figlia fosse affidata alla cura della casa, insieme a un considerevole stipendio per compensare le spese. Pur essendo un onere notevole, era inaccettabile rifiutare, dati i costumi sociali dell'epoca. La donna avendo ventitré anni e quindi oltrepassata la ragionevole età del matrimonio, accettò i nuovi incarichi con un certo peso sul cuore e fu rapidamente accolta dalla servitù. <br />
FeverHeart_0_Title;Legacy of Charity;Lascito Caritatevole
FeverHeart2_0_Title;Charity Awarded;Beneficenza Premiata
S5Fate1_Title;Financial Woes;Problemi Finanziari
S5Fate1_Content0;The village of {0} was, for lack of a more appropriate term, agricultural in its funds and like many similar small villages, were woefully unprepared for the ravages of disease. Despite the generosity (or lack thereof) of the family, the church's already severely limited resources have been stretched to their limit in their distinctly unscientific attempts to stem the spread of infection. With no more donations to call upon, the diocese turned to the local financial institutions for aide.;Il villaggio di {0} era, in mancanza di un termine più appropriato, agricolo nelle sue finanze e, come molti altri piccoli villaggi simili, tristemente impreparato alle devastazioni della malattia. Nonostante la (scarsa) generosità della famiglia, le risorse già gravemente limitate della chiesa vennero messe a dura prova nei loro tentativi palesemente antiscientifici, di arginare la diffusione dell'infezione. Non potendo contare su ulteriori donazioni, la diocesi si rivolse agli istituti finanziari locali per ottenere assistenza.
S5Fate1_Content1;With additional financial capital from the <b>Bank</b>, the church obtained the funds needed to build a Hospital. ;Grazie al capitale finanziario aggiuntivo fornito dalla <b>Banca</b>, la chiesa ottenne i fondi necessari per costruire un ospedale.
S5Fate1_Content2;The addition of a <b>Library</b> to the already strained finances of the village proved insurmountable, and the church failed to build a Hospital. Perhaps the lifestyle of an aristocrat blinded the mayor to this reality, but it was certain that the village would progress down a darker path.;L'aggiunta di una nuova <b>Biblioteca</b> alle risicate finanze del villaggio si rivelò insostenibile e la chiesa non riuscì a costruire un ospedale. Forse lo stile di vita aristocratico non fece vedere al sindaco questa realtà. Purtroppo era ormai certo che il villaggio avrebbe imboccato una strada più oscura.
S5Fate2_Title;FATE of the Infected;Il DESTINO dei Contagiati
S5Fate2_Content0;The congregation and citizenry, stricken with the weight of those lost in the battle with Yellow Fever, could only provide a meager sum, which placed the financial future of the village into the hands of the most charitable scientists.;L'assemblea e la cittadinanza, colpiti delle perdite subite nella lotta contro la febbre gialla, furono in grado di fornire solo una misera somma, il che mise il futuro finanziario del villaggio nelle mani degli scienziati più caritatevoli.
S5Fate2_Content1;<b>SUCCESS!</b><br />With charitable contributions totaling over <b>{0}</b> <icon=S1_HeartToken>, the Hospital was built. The additional medical infrastructure provided the town a respite from another severe outbreak and ushered in a new era.;<b>SUCCESSO!</b><br />Con i contributi di beneficenza per un totale di oltre <b>{0}</b> <icon=S1_HeartToken>, l'ospedale fu costruito. La nuova infrastruttura medica offrì alla città un ristoro da un'altra possibile grave epidemia e inaugurò una nuova era per il villaggio.
S5Fate2_Content2;<b>FAILURE!</b><br />With charitable contributions failing to exceed <b>{0}</b> <icon=S1_HeartToken>, the Hospital was not built. This ill-timed news was delivered just as several new cases of influenza spread across the region. Without the Hospital, the results were drastic.;<b>FALLIMENTO!</b><br />Con le donazioni benefiche che non superarono <b>{0}</b> <icon=S1_HeartToken>, l'ospedale non venne costruito. Questa triste notizia arrivò proprio mentre diversi nuovi casi di influenza si diffondevano nella regione. Senza il nuovo ospedale, le conseguenze per il villaggio furono drammatiche.
